from	entry	name	symbols	symbol	gene_id
Q6PJ73	Q6PJ73	Q6PJ73_HUMAN	DPF1	DPF1	8193
B4DVB7	B4DVB7	B4DVB7_HUMAN	NA	NA	NA
K7ELJ7	K7ELJ7	K7ELJ7_HUMAN	CAPNS1	CAPNS1	826
B7Z5S9	B7Z5S9	B7Z5S9_HUMAN	NA	NA	NA
Q53G19	Q53G19	Q53G19_HUMAN	NA	NA	NA
B7Z4C8	B7Z4C8	B7Z4C8_HUMAN	RPL31	RPL31	6160
A0A024RCT1	A0A024RCT1	A0A024RCT1_HUMAN	TAPBP hCG_17519	TAPBP	6892
B4E2U0	B4E2U0	B4E2U0_HUMAN	NA	NA	5226
Q8N6Z6	Q8N6Z6	Q8N6Z6_HUMAN	PIPOX	PIPOX	51268
B2R7D7	B2R7D7	B2R7D7_HUMAN	NA	NA	NA
A0A7P0Z491	A0A7P0Z491	A0A7P0Z491_HUMAN	ASPM	ASPM	259266
Q4W4Y1	Q4W4Y1	Q4W4Y1_HUMAN	DRIP4	DRIP4	NA
A0A024R3Z8	A0A024R3Z8	A0A024R3Z8_HUMAN	hCG_16983	hCG_16983	841
Q53GE1	Q53GE1	Q53GE1_HUMAN	NA	NA	8498
A0A140VK53	A0A140VK53	A0A140VK53_HUMAN	NA	NA	23524
E1NZA1	E1NZA1	E1NZA1_HUMAN	PRIC295	PRIC295	NA
A0A140VK39	A0A140VK39	A0A140VK39_HUMAN	NA	NA	51400
B3KTJ9	B3KTJ9	B3KTJ9_HUMAN	NA	NA	NA
B2R673	B2R673	B2R673_HUMAN	NA	NA	NA
A0A140VKF3	A0A140VKF3	A0A140VKF3_HUMAN	NA	NA	5176
B4DW90	B4DW90	B4DW90_HUMAN	NA	NA	10946
A0A087WTG3	A0A087WTG3	A0A087WTG3_HUMAN	NA	NA	NA
Q7Z355	Q7Z355	Q7Z355_HUMAN	DKFZp686L17145	DKFZp686L17145	NA
B3KM58	B3KM58	B3KM58_HUMAN	NA	NA	NA
F8VV59	F8VV59	F8VV59_HUMAN	NAP1L1	NAP1L1	4673
Q6ZQN2	Q6ZQN2	Q6ZQN2_HUMAN	NA	NA	NA
Q9BU08	Q9BU08	Q9BU08_HUMAN	NA	NA	NA
Q53F91	Q53F91	Q53F91_HUMAN	NA	NA	7429
B2R5B3	B2R5B3	B2R5B3_HUMAN	NA	NA	8969
H3BQK0	H3BQK0	H3BQK0_HUMAN	DDX19B hCG_1998531	DDX19B	11269
Q32P45	Q32P45	Q32P45_HUMAN	G3BP1	G3BP1	10146
Q1KLZ0	Q1KLZ0	Q1KLZ0_HUMAN	PS1TP5BP1 hCG_15971	PS1TP5BP1	60
Q5QTS3	Q5QTS3	Q5QTS3_HUMAN	NA	NA	NA
A8K6Q8	A8K6Q8	A8K6Q8_HUMAN	NA	NA	7037
G3V0E5	G3V0E5	G3V0E5_HUMAN	TFRC hCG_22086	TFRC	7037
A0A2R8YDH4	A0A2R8YDH4	A0A2R8YDH4_HUMAN	NA	NA	NA
E5RI99	E5RI99	E5RI99_HUMAN	RPL30	RPL30	6156
Q59GU6	Q59GU6	Q59GU6_HUMAN	NA	NA	NA
A0A6Q8PGN5	A0A6Q8PGN5	A0A6Q8PGN5_HUMAN	AARS1 AARS	AARS1	16
A0A024R3X4	A0A024R3X4	A0A024R3X4_HUMAN	HSPD1 hCG_2012240	HSPD1	3329
B4DT57	B4DT57	B4DT57_HUMAN	NA	NA	NA
A0A087WXF6	A0A087WXF6	A0A087WXF6_HUMAN	NA	NA	NA
K7EQA1	K7EQA1	K7EQA1_HUMAN	PDCD5	PDCD5	9141
I3L4M2	I3L4M2	I3L4M2_HUMAN	P4HB	P4HB	5034
Q53FN0	Q53FN0	Q53FN0_HUMAN	NA	NA	6427
H0YDN1	H0YDN1	H0YDN1_HUMAN	PLEC	PLEC	5339
Q59HH3	Q59HH3	Q59HH3_HUMAN	NA	NA	2618
B3KX72	B3KX72	B3KX72_HUMAN	NA	NA	NA
Q58F26	Q58F26	Q58F26_HUMAN	DHX9	DHX9	1660
A0A0G2JPR0	A0A0G2JPR0	A0A0G2JPR0_HUMAN	C4A	C4A	720
A0A3B3ITZ9	A0A3B3ITZ9	A0A3B3ITZ9_HUMAN	THRAP3	THRAP3	9967
C9JLU1	C9JLU1	C9JLU1_HUMAN	POLR2H	POLR2H	5437
A0A024R1T5	A0A024R1T5	A0A024R1T5_HUMAN	CNP hCG_1771539	CNP	1267
Q59EZ3	Q59EZ3	Q59EZ3_HUMAN	NA	NA	NA
A0A024R321	A0A024R321	A0A024R321_HUMAN	FLNB hCG_27732	FLNB	2317
J3KMX5	J3KMX5	J3KMX5_HUMAN	RPS13	RPS13	6207
A3R0T7	A3R0T7	A3R0T7_HUMAN	NA	NA	NA
A0A7P0MQS5	A0A7P0MQS5	A0A7P0MQS5_HUMAN	BAG6	BAG6	7917
H3BV85	H3BTW0	H3BTW0_HUMAN	BOLA2B BOLA2-SMG1P6	BOLA2B	654483
Q53HH2	Q53HH2	Q53HH2_HUMAN	NA	NA	NA
A0A7P0TAE9	A0A7P0TAE9	A0A7P0TAE9_HUMAN	CANX	CANX	821
B2RDY9	B2RDY9	B2RDY9_HUMAN	NA	NA	NA
A0A1W2PR14	A0A1W2PR14	A0A1W2PR14_HUMAN	CACNA1H	CACNA1H	8912
A9Z1X7	A9Z1X7	A9Z1X7_HUMAN	SRRM1	SRRM1	10250
X5D2T3	X5D2T3	X5D2T3_HUMAN	RPL10	RPL10	6134
E1B6W4	E1B6W4	E1B6W4_HUMAN	RSRC2	RSRC2	65117
A0A024R4I7	A0A024R4I7	A0A024R4I7_HUMAN	LZIC hCG_19054	LZIC	84328
B4DLN1	B4DLN1	B4DLN1_HUMAN	NA	NA	NA
A8K607	A8K607	A8K607_HUMAN	NA	NA	NA
A0A4D5RAC7	A0A4D5RAC7	A0A4D5RAC7_HUMAN	NA	NA	NA
B7Z809	B7Z809	B7Z809_HUMAN	NA	NA	NA
F8WC41	F8WC41	F8WC41_HUMAN	COMMD2	COMMD2	51122
A0A3B3IS84	A0A3B3IS84	A0A3B3IS84_HUMAN	COPA	COPA	1314
Q16577	Q16577	Q16577_HUMAN	PTI-1 EEF1A1L14	PTI-1	NA
A8MXP9	A8MXP9	A8MXP9_HUMAN	MATR3	MATR3	9782
A0A024R904	A0A024R904	A0A024R904_HUMAN	CACYBP hCG_2024873	CACYBP	27101
A0A024R2A7	A0A024R2A7	A0A024R2A7_HUMAN	LMAN1 hCG_1979190	LMAN1	3998
Q53G35	Q53G35	Q53G35_HUMAN	NA	NA	NA
B7Z6Q5	B7Z6Q5	B7Z6Q5_HUMAN	NA	NA	2720
B7Z7X3	B7Z7X3	B7Z7X3_HUMAN	NA	NA	4547
